Report generated on: 07-31-2020 08:32:12
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","electricity net consumption (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-2-WORL-BKWH.A","    World","7323.359489","7410.013536","7568.55743","7870.706356","8360.682799","8658.17257872","8884.54630888","9274.42855401","9693.96123935","10124.04785784","10390.64953317","10594.6238145","10660.08853978","10867.45511576","11117.46081136","11481.59274487","11812.83326685","12127.68257916","12438.44678273","12702.27991372","13276.714025","13538.76038502","13983.96979059","14510.21871664","15175.06461549","15748.3706869","16430.36185512","17213.21806973","17464.9436771","17415.16197939","18639.87071956","19329.04471045","19719.21013971","20388.20229181","20780.92967635","21227.37067634","21815.45804121","22346.50187256","NA"
"INTL.2-2-AFG-BKWH.A","        Afghanistan","0.87606","0.92256","0.88536","0.93","0.94767","0.96162","1.05555","1.13274","1.0044","1.01277","1.02114","1.04477","0.76805","0.72961","0.75017","0.68544","0.62057","0.56407","0.5278","0.52315","0.53431","0.65056","0.73891","0.97327","0.93142","0.97362","1.21041","1.48878","1.4290493","2.027433","2.442759","3.033989","3.91916","4.59336","4.71533","4.86338","5.5253","5.77722","NA"
"INTL.2-2-ALB-BKWH.A","        Albania","2.974","2.987","2.981","2.975","2.977","3.039","3.027","3.441","3.205","3.431","1.659","1.715","1.443","1.727","2.017","2.152","2.79","2.084","2.2","3.482","3.758","3.549","4.546","4.111","3.778","3.739","2.991","3.694","4.053","4.302","4.6065","5.0868","4.3699","4.552","4.906","5.07","5.11","5.032","NA"
"INTL.2-2-DZA-BKWH.A","        Algeria","5.915","6.713","7.733","8.207","8.959","9.686","10.343","11.119","11.954","12.19","12.734","13.034","14.035","14.039","14.365","14.474","15.172","15.365","16.905","18.492","19.716","20.648","21.624","23.612","24.425","27.516","26.911","28.335","30.5","28.315","33.8401","38.237","43.06","45.394","49.405","53.559","55.93","60.271","NA"
"INTL.2-2-ASM-BKWH.A","        American Samoa","0.0651","0.06231","0.06231","0.06603","0.06417","0.07719","0.06975","0.07533","0.08463","0.0837","0.08742","0.09486","0.09486","0.10695","0.11346","0.11997","0.12462","0.13113","0.13671","0.14136","0.14787","0.14973","0.15624","0.16461","0.16461","0.16554","0.16833","0.17112","0.17391","0.16554","0.14787","0.14415","0.14601","0.14508","0.14508","0.15159","0.1581","0.15531","NA"
"INTL.2-2-AGO-BKWH.A","        Angola","0.736","0.737","0.815","0.832","0.86","0.826","0.886","0.894","0.893","0.899","0.958","0.899","1.013","1.062","1.071","1.074","1.085","1.216","1.328","1.106","1.193","1.353","1.459","1.65","1.596","2.068","2.851","2.718","3.648","4.132","4.69","4.886","5.335","7.05","8.149","8.231","9.036","9.469","NA"
"INTL.2-2-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00186","0.00186","0.00186","0.00186","0.00372","0.00372","0.00372","0.00093","0.00093","0.00093","0.00093","0.00093","0","NA"
"INTL.2-2-ATG-BKWH.A","        Antigua and Barbuda","0.05208","0.05487","0.05766","0.06324","0.06603","0.06696","0.07533","0.07905","0.07998","0.08184","0.08277","0.08277","0.08277","0.08277","0.08463","0.08556","0.08556","0.08649","0.08835","0.08835","0.13113","0.14973","0.1674","0.18414","0.19344","0.21204","0.22599","0.24459","0.25203","0.28644","0.296856","0.296205","0.288765","0.288858","0.294438","0.30225","0.30597","0.30783","NA"
"INTL.2-2-ARG-BKWH.A","        Argentina","36.845","35.594","36.003","35.484","37.739","37.373","39.01","42.152","42.22","39.924","37.105","39.655","45.292","48.407","49.934","54.938","57.928","62.78","67.908","70.43","73.231","75.397","72.474","79.113","83.658","88.613","97.924","100.3331","103.7511","104.1911","111.0731","114.543","118.272","118.052","123.674","128.9","128.573","124.856","NA"
