iso,country,indicator,nutrients,time,unit,value,datetime
ISL,Iceland,Balance per hectare,Phosphorus,1990,Kilograms,2.128,1990-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1991,Kilograms,1.996,1991-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1992,Kilograms,1.836,1992-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1993,Kilograms,1.873,1993-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1994,Kilograms,1.855,1994-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1995,Kilograms,1.747,1995-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1996,Kilograms,1.763,1996-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1997,Kilograms,1.768,1997-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1998,Kilograms,1.846,1998-01-01
ISL,Iceland,Balance per hectare,Phosphorus,1999,Kilograms,1.915,1999-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2000,Kilograms,1.818,2000-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2001,Kilograms,1.81,2001-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2002,Kilograms,1.633,2002-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2003,Kilograms,1.285,2003-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2004,Kilograms,1.694,2004-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2005,Kilograms,1.549,2005-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2006,Kilograms,1.801,2006-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2007,Kilograms,1.959,2007-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2008,Kilograms,1.838,2008-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2009,Kilograms,1.476,2009-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2010,Kilograms,1.532,2010-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2011,Kilograms,1.449,2011-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2012,Kilograms,1.529,2012-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2013,Kilograms,1.525,2013-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2014,Kilograms,1.741,2014-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2015,Kilograms,1.733,2015-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2016,Kilograms,1.544,2016-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2017,Kilograms,1.891,2017-01-01
ISL,Iceland,Balance per hectare,Phosphorus,2018,Kilograms,1.755,2018-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1990,Tonnes,1573744.593,1990-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1991,Tonnes,1528669.817,1991-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1992,Tonnes,1525739.858,1992-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1993,Tonnes,1557046.673,1993-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1994,Tonnes,1520330.721,1994-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1995,Tonnes,1456878.566,1995-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1996,Tonnes,1418534.852,1996-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1997,Tonnes,1429453.106,1997-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1998,Tonnes,1421353.29,1998-01-01
JPN,Japan,Nutrient inputs,Nitrogen,1999,Tonnes,1411194.375,1999-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2000,Tonnes,1410812.542,2000-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2001,Tonnes,1378898.892,2001-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2002,Tonnes,1371135.769,2002-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2003,Tonnes,1378680.466,2003-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2004,Tonnes,1350746.394,2004-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2005,Tonnes,1344469.456,2005-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2006,Tonnes,1336458.555,2006-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2007,Tonnes,1404836.691,2007-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2008,Tonnes,1250668.141,2008-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2009,Tonnes,1222263.483,2009-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2010,Tonnes,1302855.435,2010-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2011,Tonnes,1277827.007,2011-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2012,Tonnes,1284086.377,2012-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2013,Tonnes,1300328.949,2013-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2014,Tonnes,1288752.511,2014-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2015,Tonnes,1273176.887,2015-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2016,Tonnes,1280945.196,2016-01-01
JPN,Japan,Nutrient inputs,Nitrogen,2017,Tonnes,1285209.147,2017-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1990,Tonnes,14856.371,1990-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1991,Tonnes,14138.929,1991-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1992,Tonnes,13693.422,1992-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1993,Tonnes,14560.401,1993-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1994,Tonnes,13828.721,1994-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1995,Tonnes,14396.469,1995-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1996,Tonnes,14253.96,1996-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1997,Tonnes,14072.387,1997-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1998,Tonnes,15229.954,1998-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,1999,Tonnes,15904.624,1999-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2000,Tonnes,15167.661,2000-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2001,Tonnes,14452.039,2001-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2002,Tonnes,13414.193,2002-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2003,Tonnes,12155.561,2003-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2004,Tonnes,12682.561,2004-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2005,Tonnes,12086.817,2005-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2006,Tonnes,14841.07,2006-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2007,Tonnes,16705.474,2007-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2008,Tonnes,18108.686,2008-01-01
ISL,Iceland,Balance (inputs minus outputs),Nitrogen,2009,Tonnes,14965.304,2009-01-01
