reporter_name,partner_name,trade_flow,product_group,indicator,year,share_percentage,datetime
 World, World,Import,Food Products,Import Product Share (%),1988,3.2619,1988-01-01
 World,Afghanistan,Import,Food Products,Import Product Share (%),1988,0.0404,1988-01-01
 World,Albania,Import,Food Products,Import Product Share (%),1988,0.1775,1988-01-01
 World,Algeria,Import,Food Products,Import Product Share (%),1988,0.3081,1988-01-01
 World,American Samoa,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Andorra,Import,Food Products,Import Product Share (%),1988,0.0914,1988-01-01
 World,Angola,Import,Food Products,Import Product Share (%),1988,0.0054,1988-01-01
 World,Anguila,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Antarctica,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Antigua and Barbuda,Import,Food Products,Import Product Share (%),1988,0.885,1988-01-01
 World,Argentina,Import,Food Products,Import Product Share (%),1988,14.5239,1988-01-01
 World,Armenia,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Aruba,Import,Food Products,Import Product Share (%),1988,24.0491,1988-01-01
 World,Australia,Import,Food Products,Import Product Share (%),1988,3.399,1988-01-01
 World,Austria,Import,Food Products,Import Product Share (%),1988,1.2184,1988-01-01
 World,Azerbaijan,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,"Bahamas, The",Import,Food Products,Import Product Share (%),1988,4.8939,1988-01-01
 World,Bahrain,Import,Food Products,Import Product Share (%),1988,0.0035,1988-01-01
 World,Bangladesh,Import,Food Products,Import Product Share (%),1988,0.4268,1988-01-01
 World,Barbados,Import,Food Products,Import Product Share (%),1988,13.033,1988-01-01
 World,Belarus,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Belgium,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Belgium-Luxembourg,Import,Food Products,Import Product Share (%),1988,2.7264,1988-01-01
 World,Belize,Import,Food Products,Import Product Share (%),1988,30.4839,1988-01-01
 World,Benin,Import,Food Products,Import Product Share (%),1988,0.8817,1988-01-01
 World,Bermuda,Import,Food Products,Import Product Share (%),1988,0.0291,1988-01-01
 World,Bhutan,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Bolivia,Import,Food Products,Import Product Share (%),1988,2.2163,1988-01-01
 World,Bonaire,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Bosnia and Herzegovina,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Botswana,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Bouvet Island,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Br. Antr. Terr,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Brazil,Import,Food Products,Import Product Share (%),1988,14.7157,1988-01-01
 World,British Indian Ocean Ter.,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,British Virgin Islands,Import,Food Products,Import Product Share (%),1988,0.8469,1988-01-01
 World,Brunei,Import,Food Products,Import Product Share (%),1988,0.001,1988-01-01
 World,Bulgaria,Import,Food Products,Import Product Share (%),1988,6.9459,1988-01-01
 World,Bunkers,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Burkina Faso,Import,Food Products,Import Product Share (%),1988,0.0264,1988-01-01
 World,Burundi,Import,Food Products,Import Product Share (%),1988,0.7023,1988-01-01
 World,Cambodia,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Cameroon,Import,Food Products,Import Product Share (%),1988,20.1511,1988-01-01
 World,Canada,Import,Food Products,Import Product Share (%),1988,1.7978,1988-01-01
 World,Cape Verde,Import,Food Products,Import Product Share (%),1988,3.501,1988-01-01
 World,Cayman Islands,Import,Food Products,Import Product Share (%),1988,0.0092,1988-01-01
 World,Central African Republic,Import,Food Products,Import Product Share (%),1988,2.9012,1988-01-01
 World,Chad,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Chile,Import,Food Products,Import Product Share (%),1988,10.4274,1988-01-01
 World,China,Import,Food Products,Import Product Share (%),1988,5.2405,1988-01-01
 World,Christmas Island,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,Cocos (Keeling) Islands,Import,Food Products,Import Product Share (%),1988,4.4053,1988-01-01
 World,Colombia,Import,Food Products,Import Product Share (%),1988,3.6263,1988-01-01
 World,Comoros,Import,Food Products,Import Product Share (%),1988,,1988-01-01
 World,"Congo, Dem. Rep.",Import,Food Products,Import Product Share (%),1988,0.2139,1988-01-01
 World,"Congo, Rep.",Import,Food Products,Import Product Share (%),1988,1.4636,1988-01-01
